Customer Complaint,Complaint Category
No advance update About thedelay of the train.,Train Delays & Cancellations
"Before departure, none of the updates was providedAbout the delay of the train.",Train Delays & Cancellations
Resistance was met when the train was announced.,Train Delays & Cancellations
Toilet facilities weren't cleaned for the entire journey.,Coach Cleanliness & Hygiene
Air conditioning did NOT work during the whole journey.,Train & Station Infrastructure
Horses were used as transportation within the railway infrastructure.,Train & Station Infrastructure
"Your website states that I could save money. But, there is no immediate benefit.",Ticketing & Reservation Issues
Airport authorities rejected my claim completely.,Ticketing & Reservation Issues
Steps were not installed under the railway tracks.,Train & Station Infrastructure
"Before departure,noupdatewas given Aboutthedelayofthetrain.",Train Delays & Cancellations
Attendants refused to provide information about train timetables.,Train Delays & Cancellations
I could not reservemy seat even after confirmation.,Seat Allocation Issues
Power supply was interrupted during the entire journey.,Train & Station Infrastructure
There is an obvious flaw in the railway signal.(Unknown location).,Train & Station Infrastructure
Refund for my canceled ticket has NOT been processing yet.,Ticketing & Reservation Issues
Unauthorized people were openning customers’ bags.,Security & Safety Concerns
Refused drinks delivered to the seat.,Seat Allocation Issues
Maximum waiting time for the normal railway route is 3 hours. ,Train Delays & Cancellations
Meal served was stale and unfit to eat.,Food & Catering Issues
Rescheduling of the train BY ABOUT DECEMBER 2018 IS UNRELIABLE.,Train Delays & Cancellations
Last minute changes in the Train timings.,Train & Station Infrastructure
There was an obvious flaw in the Railway signal.,Train & Station Infrastructure
Id cards were not issued upon arrival.,Ticketing & Reservation Issues
Overweight passengers were permitted to travel.,Seat Allocation Issues
The airconditioning was notworking during the entire journey.,Train & Station Infrastructure
Lengthy wait for the train. ,Train & Station Infrastructure
My ticket has been cancelled without any notification.,Ticketing & Reservation Issues
Seats outside thetrain were broken and unequal.,Train & Station Infrastructure
It was difficult to find your way around the Train.,Train & Station Infrastructure
Maximum waiting time for the normal Railway route is 3 hours.,Train Delays & Cancellations
Mumbai Railways employees mishandled my baggage.,Luggage & Belongings Issues
Availability of WiFi on the platform was limited.,Ticketing & Reservation Issues
The fried food was salty and unafitto eat.,Food & Catering Issues
Pests and insects were present within the rail infrastructure.,Train & Station Infrastructure
The airconditioning wasnotworking during the entire journey.,Train & Station Infrastructure
Outdated information about train diversions is being spread.,Customer Service & Staff Complaints
Animal welfare officers were not informed about the passenger's health conditions.,Security & Safety Concerns
Whole coaching was covered with dirt.,Train & Station Infrastructure
Okinawa train schedule is highly uncertain.,Train Delays & Cancellations
Frequent cancellations of this route are causing difficulty. ,Ticketing & Reservation Issues
Fast food stalls opened within the railway premises.,Food & Catering Issues
Frequently delayed trains were causing problems.,Train Delays & Cancellations
Seats outside thetrain were broken and uncomfortable.,Train & Station Infrastructure
Guests were allowed to carry baggage.,Luggage & Belongings Issues
Toilet facilities weren't available during the whole journey.,Coach Cleanliness & Hygiene
Crew member ignoredmy complaint completely.,Customer Service & Staff Complaints
"After confirmation,no update was provided About the delay of the train.",Train Delays & Cancellations
Pests and insects were present Inside the train.,Coach Cleanliness & Hygiene
"When I reunited with my bags, nobody hadrecovered them by the time.",Train Delays & Cancellations
Track maintenance resulted in delays ofmorethan 5 hours.,Train Delays & Cancellations
No prior update about thedelay of the train.,Train Delays & Cancellations
Airconditioning didnot work duringthe entire journey.,Train & Station Infrastructure
The railway police was rude and unhelpful.,Customer Service & Staff Complaints
Partial cancellation of the journey has occurred. ,Ticketing & Reservation Issues
I am being charged double for My Ticket Booking.,Ticketing & Reservation Issues
Power supply within the railway premises was not working during the entire journey.,Train & Station Infrastructure
Empty bottles and packages were left inside the train.,Coach Cleanliness & Hygiene
Unauthorised people were opening passengers’ bags.,Luggage & Belongings Issues
Maximum weight allowed for baggage is 60 kgs.,Luggage & Belongings Issues
North Eastern Railway forced me to pay twice for my ticket booking.,Ticketing & Reservation Issues
Garbage was thrown into the rail tracks.,Train & Station Infrastructure
Free WiFi Was Not Available On The Platform.,Ticketing & Reservation Issues
Homeless people were sleeping on the platform.,Security & Safety Concerns
The online ticketing platform is notworking.,Ticketing & Reservation Issues
Okinawa train schedule is heavily influenced by weather conditions.,Train Delays & Cancellations
Beliefs related to religion were displayed outside the train.,Train Delays & Cancellations
Forced drinking had begun by some individuals.,Security & Safety Concerns
Dogs were permitted on the platform.,Seat Allocation Issues
Extraneous questions were asked by the officers.,Security & Safety Concerns
Outside drinking is NOT permitted.,Seat Allocation Issues
Seats within the train were broken and uncomfiturized.,Train & Station Infrastructure
Pest control measures weren't implemented.,Coach Cleanliness & Hygiene
"Himalayan rain occurred outside the train, making it difficult to travel.",Train & Station Infrastructure
Nothing was supplied for my meal preference sorting.,Food & Catering Issues
The online booking system is non-functional.,Ticketing & Reservation Issues
Medical personnel ignored my complaint completely.,Customer Service & Staff Complaints
Attendants refused to provide information about Train timings. ,Train & Station Infrastructure
No help was provided for senior citizens.,Customer Service & Staff Complaints
Passengers had no prior notice about the delay of thetrain.,Train Delays & Cancellations
"Your website states that I could claim compensation. But, nothing happened.",Ticketing & Reservation Issues
"My wallet was stolen, and no assistance was given.",Security & Safety Concerns
Human waste was being thrown into the rail track.,Train & Station Infrastructure
This train had unauthorised passengers traveling withouttickets.,Ticketing & Reservation Issues
Cast members of the movie were seated in the third class.,Seat Allocation Issues
Inadequately trained staff was operating the train.,Customer Service & Staff Complaints
The air conditoner was not working throughout the journey.,Train & Station Infrastructure
I Was Awaiting My Ticket When The Booking Was Confirmed.,Ticketing & Reservation Issues
You cannot enter the railway premises without permission.,Security & Safety Concerns
"My wallet was stolen, and no help was given.",Security & Safety Concerns
"Your website states that I could claim a bonus. But, there's no update about it.",Ticketing & Reservation Issues
"After receiving my ticket confirmation, none of your information is accurate.",Ticketing & Reservation Issues
I didn't receive my confirmation email.,Ticketing & Reservation Issues
As there was no security personnel in the entire coalition.,Security & Safety Concerns
My belongings were stained or dirty.,Coach Cleanliness & Hygiene
Spirituous drinks were available for sale at the station.,Train & Station Infrastructure
Seats placed behind the wall were broken and unequal.,Train & Station Infrastructure
My luggage was missing when I arrive at my Destination.,Luggage & Belongings Issues
Jawan mishandled my baggage.,Luggage & Belongings Issues
Personal items were removed from the passengers’ bags.,Luggage & Belongings Issues
Decorations and flowers were removed.,Coach Cleanliness & Hygiene
Passengers refused to provide information about train timings. ,Train & Station Infrastructure
Refusal to supply information about Train timetables.,Train Delays & Cancellations
UNAUTHORIZED PERSONS WERE OPENING PURSES.,Security & Safety Concerns
I couldn't reservemy seat even after confirmation.,Seat Allocation Issues
Stewards rejected my complaint completely.,Customer Service & Staff Complaints
Pest control officials didnot remove the flies.,Coach Cleanliness & Hygiene
Indian authorities refused to provide information about traffic conditions.,Customer Service & Staff Complaints
Buses running outside the Railway tracks is dangerous.,Train & Station Infrastructure
Software issues caused the main course to be removed from the menu.,Food & Catering Issues
There should be more security personnel on the platform.,Security & Safety Concerns
NO help was offered for senior citizens.,Customer Service & Staff Complaints
You had no drinking water available at the stations.,Train & Station Infrastructure
Your website states that I can claim my deposit money.,Ticketing & Reservation Issues
First class seats were allocated without my confirmed booking.,Ticketing & Reservation Issues
University students were allowed to travel free by sharing seats.,Seat Allocation Issues
Toasted bread was not cut into pieces when served.,Food & Catering Issues
Refused liquor was delivered to the window seat.,Seat Allocation Issues
It was very dusty outside the train.,Train & Station Infrastructure
There's no proper security system in the whole coach.,Security & Safety Concerns
As there is no security personnel in the whole coalition.,Security & Safety Concerns
Servers had no knowledge about Train timings.,Train & Station Infrastructure
Overcrowded coaching leading to safety concerns.,Security & Safety Concerns
Mechanical issues with trains were reported.,Train & Station Infrastructure
Forced alcohol consumption by staffmembers.,Customer Service & Staff Complaints
Seat allocation was done randomly.,Seat Allocation Issues
Lombok Express was delayed by more than 5 hours.,Train Delays & Cancellations
Not enough seating for the total fare paid.,Seat Allocation Issues
Refreshments were NOTavailable during the entire journey. ,Food & Catering Issues
Two trains ran withoutany delay.,Train Delays & Cancellations
No priorUpdate about thedelay of the train.,Train Delays & Cancellations
Little or nonexistent assistance at the station.,Train & Station Infrastructure
Inadequate security measures in the wholecoach.,Security & Safety Concerns
"Before departure, no updatewas given About the delay of thetrain.",Train Delays & Cancellations
Refund processing has been delayed for more than 5 days.,Ticketing & Reservation Issues
Pest control issues werenot addressed.,Coach Cleanliness & Hygiene
Overcrowding in the general coalition led to safety concerns. ,Security & Safety Concerns
Restrained guests were opening customers’ bags.,Luggage & Belongings Issues
Hydraulic brakes weren't Working during the entire journey.,Train & Station Infrastructure
Crew mishandled my baggage.,Luggage & Belongings Issues
Heated seats did not work During the entire journey.,Seat Allocation Issues
External passengers were travelling without tickets.,Ticketing & Reservation Issues
Little or nonexistent information about train timings.,Train & Station Infrastructure
Lack of lighting on the platforms at night.,Train & Station Infrastructure
Backpacks and bags were not permitted.,Seat Allocation Issues
It was extremely hot with none protection against temperature.,Train & Station Infrastructure
Atrain had unauthorized passengers traveling without tickets.,Ticketing & Reservation Issues
No aid or assistance was provided for senior citizens.,Customer Service & Staff Complaints
Breakfast was NOT served even after confirmation. ,Food & Catering Issues
Okinawa train schedule is uncertain.,Train Delays & Cancellations
Maximum wait time for the normal Railway service is 3 hours.,Train Delays & Cancellations
Attendants refused to Provide Information About Train Timelines.,Train Delays & Cancellations
The air conditioning was notworking during the entire journeys.,Train & Station Infrastructure
The platform was really dirty with no proper cleaning staff.,Customer Service & Staff Complaints
Hundreds of passengers were traveling without tickets.,Ticketing & Reservation Issues
Refund claims have NOT been resolved yet.,Ticketing & Reservation Issues
NCA refused to provide any information about Train timings.,Train & Station Infrastructure
Toilets weren't cleaned for the whole Jammu traffic.,Coach Cleanliness & Hygiene
Online booking is not available.,Ticketing & Reservation Issues
Every year there seems to be an accident on the railroad.,Security & Safety Concerns
"Your website states that I could claim a refund. But when I tried to claim, nothing happened.",Ticketing & Reservation Issues
All my documents were missingwhen I arrived at my destination.,Security & Safety Concerns
I was charged twice for My Trip BookING.,Ticketing & Reservation Issues
Crossing guards do not help with buses.,Train & Station Infrastructure
Not enough seating for the total passenger weight.,Seat Allocation Issues
I've never experienced such a long wait for this train.,Train Delays & Cancellations
The air conditioning was NOT working during the whole journey.,Train & Station Infrastructure
"When I arrived at my destination, there was no Security personnel.",Security & Safety Concerns
Your website is notworking.,Ticketing & Reservation Issues
Frequent cancellation ofthis route is causing problems.,Ticketing & Reservation Issues
Overcrowding led to safety concerns.,Security & Safety Concerns
Nearest station is more than 100 kilometers away.,Train & Station Infrastructure
Refund formy cancelled ticket submitted online is not processed yet.,Ticketing & Reservation Issues
My bag was missingwhen I arrived at my destinatioon.,Luggage & Belongings Issues
Trunk opening was not secured even after confirmation. ,Coach Cleanliness & Hygiene
The platform was really dirty with no proper cleaning Staff.,Customer Service & Staff Complaints
There was an foulsmell outside the compartment.,Coach Cleanliness & Hygiene
UFOs were flying over the railway track.,Train & Station Infrastructure
The railway police was rude and unfhelpful.,Customer Service & Staff Complaints
Lack of sufficient lighting on the platform at night.,Train & Station Infrastructure
Spider webs were present outside the train.,Coach Cleanliness & Hygiene
Toilet facility was not cleaned for the entire journey.,Coach Cleanliness & Hygiene
Free tickets were distributed without any priority.,Ticketing & Reservation Issues
